product_key, product_number  , product_id, category_id, product                         , cost  , product_line, category   , subcategory      , maintenance
          1, AC-BC-BC-M005   ,        478, AC_BC      , Mountain Bottle Cage            ,    4.0, M           , Accessories, Bottles and Cages, No
          2, AC-BC-BC-R205   ,        479, AC_BC      , Road Bottle Cage                ,    3.0, R           , Accessories, Bottles and Cages, No
          3, AC-BC-WB-H098   ,        477, AC_BC      , Water Bottle - 30 oz.           ,    2.0, S           , Accessories, Bottles and Cages, No
          4, AC-BR-RA-H123   ,        483, AC_BR      , Hitch Rack - 4-Bike             ,   45.0, S           , Accessories, Bike Racks       , Yes
          5, AC-BS-ST-1401   ,        486, AC_BS      , All-Purpose Bike Stand          ,   59.0, M           , Accessories, Bike Stands      , No
          6, AC-CL-CL-9009   ,        484, AC_CL      , Bike Wash - Dissolver           ,    3.0, S           , Accessories, Cleaners         , Yes
          7, AC-FE-FE-6654   ,        485, AC_FE      , Fender Set - Mountain           ,    8.0, M           , Accessories, Fenders          , No
          8, AC-HE-HL-U509   ,        217, AC_HE      , Sport-100 Helmet- Black         ,   13.0, S           , Accessories, Helmets          , Yes
          9, AC-HE-HL-U509-B ,        222, AC_HE      , Sport-100 Helmet- Blue          ,   13.0, S           , Accessories, Helmets          , Yes
         10, AC-HE-HL-U509-R ,        214, AC_HE      , Sport-100 Helmet- Red           ,   13.0, S           , Accessories, Helmets          , Yes
         11, AC-HP-HY-1023-70,        487, AC_HP      , Hydration Pack - 70 oz.         ,   21.0, S           , Accessories, Hydration Packs  , No
         12, AC-TT-PK-7098   ,        480, AC_TT      , Patch Kit/8 Patches             ,    1.0, S           , Accessories, Tires and Tubes  , Yes
         13, AC-TT-TI-M267   ,        535, AC_TT      , LL Mountain Tire                ,    9.0, M           , Accessories, Tires and Tubes  , Yes
         14, AC-TT-TI-M602   ,        536, AC_TT      , ML Mountain Tire                ,   11.0, M           , Accessories, Tires and Tubes  , Yes
         15, AC-TT-TI-M823   ,        537, AC_TT      , HL Mountain Tire                ,   13.0, M           , Accessories, Tires and Tubes  , Yes
         16, AC-TT-TI-R092   ,        538, AC_TT      , LL Road Tire                    ,    8.0, R           , Accessories, Tires and Tubes  , Yes
         17, AC-TT-TI-R628   ,        539, AC_TT      , ML Road Tire                    ,    9.0, R           , Accessories, Tires and Tubes  , Yes
         18, AC-TT-TI-R982   ,        540, AC_TT      , HL Road Tire                    ,   12.0, R           , Accessories, Tires and Tubes  , Yes
         19, AC-TT-TI-T723   ,        541, AC_TT      , Touring Tire                    ,   11.0, T           , Accessories, Tires and Tubes  , Yes
         20, AC-TT-TT-M928   ,        528, AC_TT      , Mountain Tire Tube              ,    2.0, M           , Accessories, Tires and Tubes  , Yes
         21, AC-TT-TT-R982   ,        529, AC_TT      , Road Tire Tube                  ,    1.0, R           , Accessories, Tires and Tubes  , Yes
         22, AC-TT-TT-T092   ,        530, AC_TT      , Touring Tire Tube               ,    2.0, T           , Accessories, Tires and Tubes  , Yes
         23, BI-MB-BK-M18B-40,        596, BI_MB      , Mountain-500 Black- 40          ,  295.0, M           , Bikes      , Mountain Bikes   , Yes
         24, BI-MB-BK-M18B-42,        597, BI_MB      , Mountain-500 Black- 42          ,  295.0, M           , Bikes      , Mountain Bikes   , Yes
         25, BI-MB-BK-M18B-44,        598, BI_MB      , Mountain-500 Black- 44          ,  295.0, M           , Bikes      , Mountain Bikes   , Yes
         26, BI-MB-BK-M18B-48,        599, BI_MB      , Mountain-500 Black- 48          ,  295.0, M           , Bikes      , Mountain Bikes   , Yes
         27, BI-MB-BK-M18B-52,        600, BI_MB      , Mountain-500 Black- 52          ,  295.0, M           , Bikes      , Mountain Bikes   , Yes
         28, BI-MB-BK-M18S-40,        591, BI_MB      , Mountain-500 Silver- 40         ,  308.0, M           , Bikes      , Mountain Bikes   , Yes
         29, BI-MB-BK-M18S-42,        592, BI_MB      , Mountain-500 Silver- 42         ,  308.0, M           , Bikes      , Mountain Bikes   , Yes
         30, BI-MB-BK-M18S-44,        593, BI_MB      , Mountain-500 Silver- 44         ,  308.0, M           , Bikes      , Mountain Bikes   , Yes
         31, BI-MB-BK-M18S-48,        594, BI_MB      , Mountain-500 Silver- 48         ,  308.0, M           , Bikes      , Mountain Bikes   , Yes
         32, BI-MB-BK-M18S-52,        595, BI_MB      , Mountain-500 Silver- 52         ,  308.0, M           , Bikes      , Mountain Bikes   , Yes
         33, BI-MB-BK-M38S-38,        587, BI_MB      , Mountain-400-W Silver- 38       ,  420.0, M           , Bikes      , Mountain Bikes   , Yes
         34, BI-MB-BK-M38S-40,        588, BI_MB      , Mountain-400-W Silver- 40       ,  420.0, M           , Bikes      , Mountain Bikes   , Yes
         35, BI-MB-BK-M38S-42,        589, BI_MB      , Mountain-400-W Silver- 42       ,  420.0, M           , Bikes      , Mountain Bikes   , Yes
         36, BI-MB-BK-M38S-46,        590, BI_MB      , Mountain-400-W Silver- 46       ,  420.0, M           , Bikes      , Mountain Bikes   , Yes
         37, BI-MB-BK-M68B-38,        359, BI_MB      , Mountain-200 Black- 38          , 1252.0, M           , Bikes      , Mountain Bikes   , Yes
         38, BI-MB-BK-M68B-42,        361, BI_MB      , Mountain-200 Black- 42          , 1252.0, M           , Bikes      , Mountain Bikes   , Yes
         39, BI-MB-BK-M68B-46,        363, BI_MB      , Mountain-200 Black- 46          , 1252.0, M           , Bikes      , Mountain Bikes   , Yes
         40, BI-MB-BK-M68S-38,        353, BI_MB      , Mountain-200 Silver- 38         , 1266.0, M           , Bikes      , Mountain Bikes   , Yes
         41, BI-MB-BK-M68S-42,        355, BI_MB      , Mountain-200 Silver- 42         , 1266.0, M           , Bikes      , Mountain Bikes   , Yes
         42, BI-MB-BK-M68S-46,        357, BI_MB      , Mountain-200 Silver- 46         , 1266.0, M           , Bikes      , Mountain Bikes   , Yes
         43, BI-RB-BK-R19B-44,        604, BI_RB      , Road-750 Black- 44              ,  344.0, R           , Bikes      , Road Bikes       , Yes
         44, BI-RB-BK-R19B-48,        605, BI_RB      , Road-750 Black- 48              ,  344.0, R           , Bikes      , Road Bikes       , Yes
         45, BI-RB-BK-R19B-52,        606, BI_RB      , Road-750 Black- 52              ,  344.0, R           , Bikes      , Road Bikes       , Yes
         46, BI-RB-BK-R19B-58,        584, BI_RB      , Road-750 Black- 58              ,  344.0, R           , Bikes      , Road Bikes       , Yes
         47, BI-RB-BK-R64Y-38,        382, BI_RB      , Road-550-W Yellow- 38           ,  713.0, R           , Bikes      , Road Bikes       , Yes
         48, BI-RB-BK-R64Y-40,        384, BI_RB      , Road-550-W Yellow- 40           ,  713.0, R           , Bikes      , Road Bikes       , Yes
         49, BI-RB-BK-R64Y-42,        386, BI_RB      , Road-550-W Yellow- 42           ,  713.0, R           , Bikes      , Road Bikes       , Yes
         50, BI-RB-BK-R64Y-44,        388, BI_RB      , Road-550-W Yellow- 44           ,  713.0, R           , Bikes      , Road Bikes       , Yes
         51, BI-RB-BK-R64Y-48,        390, BI_RB      , Road-550-W Yellow- 48           ,  713.0, R           , Bikes      , Road Bikes       , Yes
         52, BI-RB-BK-R79Y-40,        580, BI_RB      , Road-350-W Yellow- 40           , 1083.0, R           , Bikes      , Road Bikes       , Yes
         53, BI-RB-BK-R79Y-42,        581, BI_RB      , Road-350-W Yellow- 42           , 1083.0, R           , Bikes      , Road Bikes       , Yes
         54, BI-RB-BK-R79Y-44,        582, BI_RB      , Road-350-W Yellow- 44           , 1083.0, R           , Bikes      , Road Bikes       , Yes
         55, BI-RB-BK-R79Y-48,        583, BI_RB      , Road-350-W Yellow- 48           , 1083.0, R           , Bikes      , Road Bikes       , Yes
         56, BI-RB-BK-R89B-44,        374, BI_RB      , Road-250 Black- 44              , 1555.0, R           , Bikes      , Road Bikes       , Yes
         57, BI-RB-BK-R89B-48,        376, BI_RB      , Road-250 Black- 48              , 1555.0, R           , Bikes      , Road Bikes       , Yes
         58, BI-RB-BK-R89B-52,        378, BI_RB      , Road-250 Black- 52              , 1555.0, R           , Bikes      , Road Bikes       , Yes
         59, BI-RB-BK-R89B-58,        380, BI_RB      , Road-250 Black- 58              , 1555.0, R           , Bikes      , Road Bikes       , Yes
         60, BI-RB-BK-R89R-58,        372, BI_RB      , Road-250 Red- 58                , 1555.0, R           , Bikes      , Road Bikes       , Yes
         61, BI-TB-BK-T18U-44,        585, BI_TB      , Touring-3000 Blue- 44           ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         62, BI-TB-BK-T18U-50,        586, BI_TB      , Touring-3000 Blue- 50           ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         63, BI-TB-BK-T18U-54,        565, BI_TB      , Touring-3000 Blue- 54           ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         64, BI-TB-BK-T18U-58,        566, BI_TB      , Touring-3000 Blue- 58           ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         65, BI-TB-BK-T18U-62,        567, BI_TB      , Touring-3000 Blue- 62           ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         66, BI-TB-BK-T18Y-44,        568, BI_TB      , Touring-3000 Yellow- 44         ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         67, BI-TB-BK-T18Y-50,        569, BI_TB      , Touring-3000 Yellow- 50         ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         68, BI-TB-BK-T18Y-54,        570, BI_TB      , Touring-3000 Yellow- 54         ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         69, BI-TB-BK-T18Y-58,        571, BI_TB      , Touring-3000 Yellow- 58         ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         70, BI-TB-BK-T18Y-62,        572, BI_TB      , Touring-3000 Yellow- 62         ,  461.0, T           , Bikes      , Touring Bikes    , Yes
         71, BI-TB-BK-T44U-46,        577, BI_TB      , Touring-2000 Blue- 46           ,  755.0, T           , Bikes      , Touring Bikes    , Yes
         72, BI-TB-BK-T44U-50,        578, BI_TB      , Touring-2000 Blue- 50           ,  755.0, T           , Bikes      , Touring Bikes    , Yes
         73, BI-TB-BK-T44U-54,        579, BI_TB      , Touring-2000 Blue- 54           ,  755.0, T           , Bikes      , Touring Bikes    , Yes
         74, BI-TB-BK-T44U-60,        560, BI_TB      , Touring-2000 Blue- 60           ,  755.0, T           , Bikes      , Touring Bikes    , Yes
         75, BI-TB-BK-T79U-46,        573, BI_TB      , Touring-1000 Blue- 46           , 1482.0, T           , Bikes      , Touring Bikes    , Yes
         76, BI-TB-BK-T79U-50,        574, BI_TB      , Touring-1000 Blue- 50           , 1482.0, T           , Bikes      , Touring Bikes    , Yes
         77, BI-TB-BK-T79U-54,        575, BI_TB      , Touring-1000 Blue- 54           , 1482.0, T           , Bikes      , Touring Bikes    , Yes
         78, BI-TB-BK-T79U-60,        576, BI_TB      , Touring-1000 Blue- 60           , 1482.0, T           , Bikes      , Touring Bikes    , Yes
         79, BI-TB-BK-T79Y-46,        561, BI_TB      , Touring-1000 Yellow- 46         , 1482.0, T           , Bikes      , Touring Bikes    , Yes
         80, BI-TB-BK-T79Y-50,        562, BI_TB      , Touring-1000 Yellow- 50         , 1482.0, T           , Bikes      , Touring Bikes    , Yes
         81, BI-TB-BK-T79Y-54,        563, BI_TB      , Touring-1000 Yellow- 54         , 1482.0, T           , Bikes      , Touring Bikes    , Yes
         82, BI-TB-BK-T79Y-60,        564, BI_TB      , Touring-1000 Yellow- 60         , 1482.0, T           , Bikes      , Touring Bikes    , Yes
         83, CL-CA-CA-1098   ,        225, CL_CA      , AWC Logo Cap                    ,    7.0, S           , Clothing   , Caps             , No
         84, CL-GL-GL-H102-L ,        467, CL_GL      , Half-Finger Gloves- L           ,    9.0, S           , Clothing   , Gloves           , No
         85, CL-GL-GL-H102-M ,        465, CL_GL      , Half-Finger Gloves- M           ,    9.0, S           , Clothing   , Gloves           , No
         86, CL-GL-GL-H102-S ,        463, CL_GL      , Half-Finger Gloves- S           ,    9.0, S           , Clothing   , Gloves           , No
         87, CL-JE-LJ-0192-L ,        234, CL_JE      , Long-Sleeve Logo Jersey- L      ,   38.0, S           , Clothing   , Jerseys          , No
         88, CL-JE-LJ-0192-M ,        231, CL_JE      , Long-Sleeve Logo Jersey- M      ,   38.0, S           , Clothing   , Jerseys          , No
         89, CL-JE-LJ-0192-S ,        228, CL_JE      , Long-Sleeve Logo Jersey- S      ,   38.0, S           , Clothing   , Jerseys          , No
         90, CL-JE-LJ-0192-X ,        237, CL_JE      , Long-Sleeve Logo Jersey- XL     ,   38.0, S           , Clothing   , Jerseys          , No
         91, CL-JE-SJ-0194-L ,        490, CL_JE      , Short-Sleeve Classic Jersey- L  ,   42.0, S           , Clothing   , Jerseys          , No
         92, CL-JE-SJ-0194-M ,        489, CL_JE      , Short-Sleeve Classic Jersey- M  ,   42.0, S           , Clothing   , Jerseys          , No
         93, CL-JE-SJ-0194-S ,        488, CL_JE      , Short-Sleeve Classic Jersey- S  ,   42.0, S           , Clothing   , Jerseys          , No
         94, CL-JE-SJ-0194-X ,        491, CL_JE      , Short-Sleeve Classic Jersey- XL ,   42.0, S           , Clothing   , Jerseys          , No
         95, CL-SH-SH-W890-L ,        476, CL_SH      , Women's Mountain Shorts- L      ,   26.0, M           , Clothing   , Shorts           , No
         96, CL-SH-SH-W890-M ,        475, CL_SH      , Women's Mountain Shorts- M      ,   26.0, M           , Clothing   , Shorts           , No
         97, CL-SH-SH-W890-S ,        474, CL_SH      , Women's Mountain Shorts- S      ,   26.0, M           , Clothing   , Shorts           , No
         98, CL-SO-SO-R809-L ,        482, CL_SO      , Racing Socks- L                 ,    3.0, R           , Clothing   , Socks            , No
         99, CL-SO-SO-R809-M ,        481, CL_SO      , Racing Socks- M                 ,    3.0, R           , Clothing   , Socks            , No
        100, CL-VE-VE-C304-L ,        473, CL_VE      , Classic Vest- L                 ,   24.0, S           , Clothing   , Vests            , No
        101, CL-VE-VE-C304-M ,        472, CL_VE      , Classic Vest- M                 ,   24.0, S           , Clothing   , Vests            , No
        102, CL-VE-VE-C304-S ,        471, CL_VE      , Classic Vest- S                 ,   24.0, S           , Clothing   , Vests            , No
        103, CO-BB-BB-7421   ,        601, CO_BB      , LL Bottom Bracket               ,   24.0, n/a         , Components , Bottom Brackets  , Yes
        104, CO-BB-BB-8107   ,        602, CO_BB      , ML Bottom Bracket               ,   45.0, n/a         , Components , Bottom Brackets  , Yes
        105, CO-BB-BB-9108   ,        603, CO_BB      , HL Bottom Bracket               ,   54.0, n/a         , Components , Bottom Brackets  , Yes
        106, CO-BR-FB-9873   ,        555, CO_BR      , Front Brakes                    ,   47.0, n/a         , Components , Brakes           , Yes
        107, CO-BR-RB-9231   ,        514, CO_BR      , Rear Brakes                     ,   47.0, n/a         , Components , Brakes           , Yes
